slug,status
netflix-johnny-depp-to-be-hired-by-netflix-for-the-role-of-gomez-addams-in-the-series-wendseday,against
people-fight-with-johnny-depp,against
selena-rodriguez-let-johnny-depp-be-in-the-next-potc,against
jason-murphey-higher-pay-for-guthrie-public-school-cafeteria-staff,irrelevant
bfuhs-let-the-seniors-decorate-their-caps-for-graduation,irrelevant
the-sun-justiceforjohnnydepp,against
warner-bros-bring-back-johnny-depp-as-grindelwald,against
hollywood-emma-roberts-is-a-domestic-abuser-and-should-be-canceled,against
warner-brothers-have-jason-momoa-stand-with-johnny-depp,against
johnny-depp-as-jack-sparrow-bring-back-johnny-depp-as-jack-sparrow,against
king-soopers-bring-back-king-soopers-white-mac-and-cheese,irrelevant
everyone-save-grindelwald,against
warner-bros-disney-the-jury-cheers-to-bringing-back-johnny-depps-name,against
andy-muschietti-remove-ezra-miller-from-flash,related
marvel-johnny-depp-as-ghost-rider-in-mcu,against
justice-for-child-homicide-cold-cases,irrelevant
brian-kemp-bring-the-jenkins-kids-home,irrelevant
morley-mla-amber-jade-sanderson-allow-the-proposed-telecommunications-tower-installation-at-crimea-reserve-bayswater,irrelevant
royal-courts-of-justice-justice-for-johnny-depp,against
warner-brothers-keep-johnny-depp-as-grindelwald-be8495e5-fc87-4ff5-89d2-4179fc292863,against
warner-brothers-replace-mera-with-nanaue-in-aquaman,against
netflix-bring-johnny-depp-titles-back-to-netflix,against
at-t-boycott-warner-media-and-their-parent-company-at-t,against
california-state-senate-men-s-rights-and-the-injustices-of-the-court-and-society,against
walt-disney-johnny-depp-for-the-next-sith-lord,against
optomen-stop-johnny-depp-documentary-by-itv,against
the-great-men-of-the-world-support-male-victims-of-domestic-violence-by-not-watching-aquaman-2,against
tim-butler-tow-operators-lives-matter,irrelevant
u-s-house-of-representatives-update-our-political-operating-system,irrelevant
boag-s-brewery-bring-wizard-smith-to-the-mainland,irrelevant
NaN,irrelevant
remove-amber-heard-from-aquaman-4f951fe9-226c-40e0-a8de-28e1a265546d,against
fire-amber-heard-from-aquaman-2,against
remove-amber-heard-as-an-aclu-ambassador,against
remove-amber-heard-as-aclu-ambassador-of-women-s-rights,against
remove-amber-heard-from-all-movies-completely,against
charge-amber-heard-with-perjury,against
replace-amber-heard-with-cgi-in-aquaman2,against
remove-amber-heard-as-l-oréal-ambassador,against
remove-amber-heard-from-magic-mike-3,against
remove-amber-heard-as-an-ambassador-for-domestic-abuse,against
cancel-amber-heard-73fb30eb-8fa1-4784-b0d1-a6cf6c6f8744,against
remove-amber-heard-from-instagram,against
remove-amber-heard-as-ambassador-for-womens-rights,against
justice-for-amber-heard,for
charge-amber-heard-with-perjury-f660db73-132d-4d3a-a44a-f750ca71c980,against
remove-amber-heard-from-aquaman-2-and-replace-her-with-johnny-depp,against
remove-amber-heard-from-sag-aftra,against
keep-amber-heard-in-aquaman,for
cancel-amber-heard-303506e5-5040-4eb5-8a94-e79fd489deec,against
cancel-amber-heard-everywhere,against
have-amber-heard-legally-change-her-name-to-amber-turd,against
get-amber-heard-jailed-for-perjury,against
cancel-amber-heard-3a01f663-1e41-4413-9b5a-4619051cbb3a,against
camille-vasquez-to-replace-amber-heard-in-aquaman,against
stand-with-amber-heard,for
nominate-amber-heard-for-a-razzie-award,against
remove-amber-heard-as-an-un-human-rights-champion,against
cancel-amber-heard-5d650d0f-0913-4306-90f9-a20c62464919,against
remove-amber-heard-from-l-oréal-paris,against
investigate-amber-heard-for-perjury-in-virginia,against
cancel-amber-heard,against
replace-amber-heard-with-bruce-campbell-in-aquaman-2,against
amber-heard-you-do-not-represent-me-as-a-woman,against
remove-amber-heard-from-the-aclu,against
replace-amber-heard-from-aquaman-2-with-makenzie-lauren-️-take-a-stand-against-d-omestic-violance,against
amber-heard-must-be-investigated-for-perjury-in-uk-libel-case,against
remove-amber-heard-as-ambassador-for-l-oreal,against
to-stop-amber-heard-from-representing-victims-of-domestic-violence-and-sexual-assault,against
blacklist-amber-heard,against
amber-heard-not-heard,against
amber-heard-perjury-petition,against
l-oréal-should-remove-amber-as-an-ambassador,against
místo-amber-heard-chceme-zdeňka-škromacha-ve-filmu-aquaman-2,against
ban-amber-heard-from-twitter-for-misinformation,against
arrest-amber-heard-for-perjury,against
boycott-the-aquaman-franchise,against
cancel-boycott-remove-amber-heard-in-everything,against
re-open-appeal-uk-of-johnny-depp-defamation-case-following-unanimous-us-jury-verdict,against
justice-for-johnny-depp-5cffeb9b-a039-43e6-81c1-ffee8ee9f3b3,against
revoke-amber-heard-s-ambassadorship-for-women-s-rights-with-the-aclu,against
replace-amber-heard-with-lily-rose-depp-in-aquaman-2,against
investigate-and-bring-charges-to-amber-heard-for-commiting-perjury,against
bringinsiyaback,irrelevant
charge-amber-heard-with-perjury-7e7dead7-1679-4d03-925d-0fee2a496457,against
stop-amber-heard-gaslighting-us,against
extradite-amber-heard-to-australia,against
cancel-amber-heard-7e967434-d577-40f5-90ef-ba739a797bbe,against
remove-amber-heard-from-hollywood-justiceforjohnnydepp,against
gag-order-amber-heard-her-legal-team,against
remove-amber-heard-from-aquaman-2-or-boycott-aquaman-2,against
stop-the-travel-rn-agency-pay-caps,irrelevant
amber-heard-in-aquaman-2,for
petition-to-remove-the-op-ed-amber-heard-wrote-from-the-washington-post,against
get-uk-police-courts-to-look-into-amber-heard-perjury-charges,against
make-amber-heard-take-a-polygraph-test,against
lapd-must-investigate-amber-heard-for-perjury,against
send-amber-heard-to-prison-asap,against
washington-post-remove-amber-heard-op-ed,against
what-did-you-do-with-johnny-depp-s-dog-boo-david-heard,against
discovery-channel-johnny-vrs-amber-documentary,related
aclu-collusion-with-amber-heard-is-despicable,against
innocent-johnny-depp-should-be-reinstated-as-captain-jack-sparrow-in-pirates-6,against
charge-amber-heard-with-perjury-8758a583-2bb8-4779-a6d6-5b11c825aea5,against
australia-vs-amber-heard-request-live-stream-of-trial,against
replace-amber-heard-with-johnny-depp-in-aquaman-2-9c28c0db-5867-4155-b16c-63e3b09ff636,against
have-amber-heard-removed-from-the-industry-altogether,against
save-the-west-kildonan-library-again,irrelevant
replace-amber-heard-in-upcoming-movie-into-the-fire,against
demand-amber-heard-be-charged-with-perjury-sign-the-petition,against
replace-amber-heard-in-aquaman-with-that-umbrella-guy,against
support-men-in-ipv-domestic-violence-johnny-depp-matters,against
the-world-has-agreed-please-get-help-amber-heard,against
charge-amber-heard-with-perjury-in-fairfax-county-va-court-testimony,against
drop-amber-heard-from-aclu-ambassador,against
shoot-amber-heard-into-the-sun,against
have-warner-bros-fire-amber-heard,against
johnny-depp-statue-made-in-fairfax-county-virginia,against
to-boycott-pirates-of-the-caribbean-6-for-justice-of-johnny-depp,against
justice-for-johnny-depp-a81de936-4415-4c9b-8f95-cce3c6207128,against
dismantle-nicolas-j-fuentes-platforms-for-eliciting-violence-against-witches-and-women,for
call-amber-heard-to-the-uk-to-face-trial-for-perjury-and-falsifying-evidence,against
save-the-food-park,irrelevant
amber-heard-should-face-perjury-charges-in-the-uk,against
deny-amber-heard-s-appeal,against
remove-amber-heard-as-ambassador-for-women-s-rights-for-aclu,against
remove-amber-heard-from-in-the-fire-movie,against
replace-amber-heard-in-aqua-man-2-with-tig-notaro,against
remove-amber-heard-from-aquaman-2-and-place-johnny-depp-as-a-character-in-the-same-film,against
amber-heard-does-not-speak-for-all-dv-survivors,against
have-stanford-fire-michele-dauber-for-making-racist-sexist-comments-also-threatening-students,related
save-the-southridgeusa-winter-series-location,irrelevant
gagging-order-placed-on-amber-heard,against
have-elaine-replace-amber-heard-on-aquaman,against
remove-amber-heard-from-aquaman-2-9e9f7a3a-911d-48df-b54f-6f45c9183016,against
let-s-make-amber-heard-the-new-karen,against
don-t-let-amber-heard-act-again,against
rspca-aspca-to-remove-amber-heard-s-dog-barnaby-joyce-for-his-safety-welfare,against
dr-dawn-hughes-behavior-in-trial-was-biased-and-unethical-sign-now-to-show-your-support,related
ban-amber-heard-from-binley-mega-chippy,against
amber-alert-for-kids-with-autism,irrelevant
have-a-domestic-violence-survivor-on-msm-to-dispute-amber-heard,against
stop-casting-amber-heard-boycott-her-movies-end-her-career-now,against
miss-piggy-to-replace-amber-heard-as-mera-in-aquaman-2-as-a-better-role-model,against
petition-to-replace-amber-heard-in-aquaman-2-with-bruce-campbell,against
replace-amber-heard-in-aquaman-1-2-with-local-celebrity-mike-reardon-in-his-wife-s-dress,against
plea-to-the-va-state-attorney-investigate-perjury-in-depp-vs-amber-heard-case,related
amber-heard-disrespected-the-judge-and-jury-of-the-case-this-is-wrong,against
blacklist-amber-head-from-hollywood,against
the-sun-newspaper-to-apologise-to-johnny-depp,against
getting-emilia-clarke-to-replace-amber-heard-in-aquaman-2,against
stop-amber-heards-defamatory-book,against
amber-heard-deserves-punishment-for-her-wrongful-actions,against
nominate-amber-heard-for-the-2022-razzie-awards,against
amber-heard-you-do-not-represent-me,against
investigation-on-amber-heard-as-a-mother,against
replace-amber-heard-turd-with-johnny-depp-in-aquaman-franchise,against
keep-amber-heard-in-aqua-man,for
virginia-da-charge-amber-heard-with-perjury,against
replace-amber-heard-in-aquaman-2-with-bruce-campbell-9105f767-cfa5-464a-8479-7b5e29bb257c,against
youtube-end-the-monetization-of-targeted-harassment,for
chicago-board-of-education-elementary-school-principal-must-be-held-accountable-for-assault-on-staff-students-and-parents,irrelevant
label-shooters-for-amber-2-0-as-a-terrorist-organization,against
justice-for-johnny-depp-ebc1663b-788f-448e-b681-761b4488fa61,against
disney-should-apologize-to-johnny-depp,against
justice-for-johnny-depp-uk-trial,against
revoke-dr-hughes-board-certification,related
community-members-support-an-inter-generational-playground-for-pcnh-mca,irrelevant
justice-for-johnny-boycott-disney,against
get-eve-barlow-banned-from-twitter,against
pedimos-a-disney-una-disculpa-pública-por-el-despido-de-johnny-depp,against
replace-amber-heard-with-johnny-depp-as-mera-in-aquaman-2,against
the-washington-post-should-now-properly-amend-or-remove-the-op-ed-written-by-amber-heard,against
amber-heard-does-not-speak-for-me-victims-of-da-sa-speak-out,against
petition-to-boycott-aquaman-2-as-support-to-johnny-depps-nightmare-inflicted-by-a-heard,against
netflix-turn-merge-mansion-game-into-a-netflix-movie-or-series,irrelevant
boycott-aquaman-2,against
remove-amber-heard-from-future-warner-bros-projects,against
replace-amber-heard-with-nicolas-cage-in-aquaman,against
replace-amber-heard-with-johnny-depp-on-aqua-man-2,against
amber-heard-is-guilty-the-public-have-a-voice,against
replace-amber-heard-with-johnny-depp-in-aqua-man-2,against
end-amber-heard-and-eve-barlows-attack-on-depp-supporters,against
amber-heard-elaine-bredehoft-stop-using-domestic-abuse-victims,against
demand-twitter-reinstate-adam-waldman-s-account,against
jam-city-support-for-reproductive-justice-and-human-rights-ce759779-9557-427f-8548-4746db29f3d2,irrelevant
demand-a-public-formal-apology-to-johnny-depp-from-warner-bros-disney,against
put-amber-heard-in-new-guess-fragrance-commercials,for
tell-the-world-do-something-for-johnny-and-our-men,against
charge-ah-with-perjury-she-is-no-different-than-anyone-else-her-lies-need-consequences,against
bring-johnny-depp-back-as-captain-jack-sparrow,against
amber-heard-should-be-filed-with-perjury-for-lying-under-oath,against
replace-amber-heard-with-emilia-clarke-on-the-aqua-man-franchise,against
irs-check-amber-heards-tax-document-for-donation-write-off,against
amber-heard-should-face-charges-of-perjury-for-lying-under-oath,against
replace-amber-heard-with-johnny-depp-in-aquaman-2-d7e86b8f-0ff8-4e27-bfa7-a541853c802a,against
band-together-against-aquaman-2-if-amber-heard-is-starred,against
replace-amber-heard-in-aquaman-2-with-nikkita-lyons,against
petition-for-aclu-to-publicly-denounce-amber-heard-as-an-ambassador,against
johnny-depp-deserves-his-work-back-if-amber-heard-has-it-rules-must-be-applied-equal,against
boycott-aquaman-2-if-amber-heard-becomes-part-of-it,against
remove-michele-dauber-as-a-professor-from-stanford,against
remove-media-mocking-amber-s-testimony-from-platforms-for-our-children,for
hold-kratt-elementary-school-administration-accountable,irrelevant
governor-justice-for-shandre-saunders-an-innocent-man,irrelevant
re-locate-the-lakes-café,irrelevant
minister-of-treaty-of-waitangi-negotiations-withdrawal-from-whakatōhea-pre-settlement-claims-trust-mandate-34ba4e41-0f73-46a4-992e-a9644ebc3a5c,irrelevant
replace-amber-from-l-oréal-with-ana-de-armas,against
justice-for-johnny-depp-public-apology-from-disney,against
disney-public-apology-to-johnny-depp,against
royal-liverpool-university-hospital-justice-for-bernice-whitehead,irrelevant
his-fans-justiceforjohnny,against
replace-amber-heard-with-menashe-noy-as-mera-in-aquaman-2,against
petition-for-johnny-depp-to-say-his-famous-dialogue-after-the-trial-against-amber-heard,against
disney-and-warner-brothers-owe-johnny-depp-a-public-apology,against
public-apology-from-disney-to-johnny-depp,against
warner-brothers-justice-for-johnny-depp-and-termination-for-amber-heard,against
we-want-johnny-depp-to-replace-amber-heard-in-aquaman-2,against
remove-eve-barlow-from-twitter,against
johnny-depp-is-the-only-jack-sparrow,related
remove-all-media-links-re-depp-vs-heard-from-social-media,for
petition-to-get-johnny-depp-into-the-next-aquaman-movie-or-any-dc-comics-movie,against
bring-back-johnny-depp-as-grindelwald-in-fantastic-beasts,against
boycott-aquaman-2-e9952f72-0c82-488a-9850-977943f8a1ac,against
johnny-depp-to-play-mera-in-aquaman-2-a2a38a2d-930b-4ddb-95a4-413b8a32c58f,against
remove-amber-heards-verified-blue-check-mark,against
michael-parson-please-help-bring-my-children-home-stop-cps-workers-from-keeping-custody-of-my-kids-help-bring-them-back-home,irrelevant
warner-bros-replace-amber-heard-with-johnny-depp-for-the-role-of-mera-in-aquaman-2,against
fire-amber-heard-and-recast-mera-in-aquaman-2-with-johnny-depp,against
tell-people-magazine-to-print-a-retraction-and-apology-to-johnny-depp,against
justice-for-johnny-depp-d5b716a7-2974-4ca7-94e2-dd94f3f600fc,related
boycott-all-disney-films-for-firing-johnny-depp,against
petition-replace-amber-heard-with-roja-akka-in-aquaman-and-the-lost-kingdom,against
kids-really-need-captain-jack-sparrow-performed-by-the-inimitable-johnny-depp,against
do-not-move-bc-schools-online,irrelevant
gilpin-residents-speak-up,irrelevant
i-stand-with-johnny-depp,against
fire-raven-smith-from-vogue,against
wb-disney-need-to-publicly-apologize-to-johnny-depp,against
cancel-the-drew-barrymore-show,against
fire-bob-chapek-toby-emmerich-and-walter-hamada,for
stop-the-false-allegations-targeted-harassment-against-popcorned-planet-s-andy-signore,against
pledge-to-not-see-aquaman-2,against
lifetime-twitter-ban-for-eve-barlow,against
get-instagram-to-remove-amber-heards-check-mark,against
reinstate-johnny-depp-s-twitter-account,against
save-amber-heard-s-mera-from-removing-her-out-of-aquaman-2,for
drop-charges-against-jose-holguin,irrelevant
make-dr-shannon-curry-the-next-aquaman-princess-mera,against
give-the-pirate-role-back-to-johnny-depp,against
aquaman-2-add-the-director-s-action-scenes-back,for
overturn-the-uk-judgement-on-johnny-depp,against
johnny-depp-has-been-vindicated-the-uk-sun-needs-to-print-a-retraction,against
johnny-depp-domestic-violence-bill,against
remove-husband-abuser-proven-liar-from-aquaman-movies-boycott-aquaman,against
we-must-make-sure-gps-are-competent-in-their-care-for-patients-with-rare-diseases-understanding-rare-diseases-understanding-medication-limitations-and-fully-aware-of-referral-practices-for-patients-at-risk-of-self-harm-overdose-or-suicide,irrelevant
aclu-to-ask-johnny-depp-to-be-a-domestic-violence-ambassador,against
justice-for-johnny-depp-ecdceace-c208-4be0-aa3f-e401b70b08b2,against
cancel-cancel-culture-and-be-the-solution-not-the-problem,against
bring-back-johnny-depp-and-captain-jack-sparrow-to-walt-disney-studios,against
petition-to-have-johnny-depp-appear-in-aquaman-2-for-10-min-and-be-paid-7-m,against
youtube-keep-marilyn-manson-s-videos-on-youtube,against
say-no-to-closing-husd-schools,irrelevant
stop-public-attacks-on-meghan-amber-and-their-supporters,for
disney-owe-johnny-depp-a-public-apology,related
put-johnny-depp-in-aquaman-f18b3696-1b70-4704-be01-cbabd177e4a3,against
hire-johnny-depp-for-aqua-man-3,against
boycott-aquaman-2-52623329-d7ff-401b-bda3-a8f2cdb303ba,against
stop-the-aclu-from-suing-johnny-depp,against
bring-back-jack-sparrow-d1a411ac-76fa-4b6c-a2b0-9dc350002887,against
remove-cyberbully-michele-dauber-from-twitter-and-fired-from-standford-university,against
ask-the-sun-newspaper-dan-wootton-to-apologise-to-johnny-depp-for-the-lies-they-printed,against
remove-aquaman-2-from-earth,against
boycott-amberturd-s-book-when-it-comes-out,against
allow-victims-of-assault-to-bring-a-support-person-with-them-to-magistrates-court,related
i-stand-with-johnny-depp-justiceforjd,against
remove-rachel-riley-from-countdown,related
get-johnny-depp-back-into-pirates-6,related
notwithher,against
recast-mera-in-the-aquaman-franchise-with-dr-shannon-curry-aka-dr-mommy,against
disbar-waldman,for
remove-raven-smith-from-vogue,against
jonny-depp-defamation-win-to-aclu-the-children-s-hospital-la,against
boycott-aquaman-2-completely,against
st-louis-university-planned-parenthood-s-open-assault-on-the-human-race,irrelevant
wrongful-civil-justice-verdict,for
boycott-all-future-pirates-of-the-caribbean-movies-that-do-not-include-johnny-depp,related
disney-reinstate-johnny-depp-as-jack-sparrow,against
only-jonny-depp-for-captain-jack-sparrow,related
congress-prison-reform-challenge-accepted,irrelevant
warner-bros-bring-back-depp,against
remake-secrets-of-dumbledore-with-the-true-gellert-grindelwald,against
reinstate-johnny-depp-to-cameras-and-give-his-future-roles-back-️,against
warner-bro-s-give-johhny-depp-justice,against
give-the-captain-his-exit-rehire-johnny-depp-for-pirates-6,against
justice-for-aspiring-doctor-found-naked-and-alone-in-her-bathtub,irrelevant
bring-johnny-depp-back-as-captain-jack-sparrow-with-increase-of-his-salary,against
justice-for-johnny-depp-c7c110d8-1df3-46e8-964a-cb9413829f6b,against
push-for-a-lincoln-county-casa-program-advocate-for-neglected-abused-children,irrelevant
u-s-congress-change-violence-against-women-act-to-violence-against-partner-act,related
take-away-the-charitable-status-of-the-aclu,against
justice-for-johnny-depp-663bd931-69b6-4f22-8d85-f2ad7ac6670c,against
replace-wap-with-objection-hearsay,irrelevant
johnny-depp-return-for-pirates-6,related
disney-replacing-jack-sparrow,related
cancel-jada-pinkett-smith-s-red-table-talk-show,against
stop-father-s-annex-iv-certificate-under-brussels-ii-revised-to-release-us-from-spain,related
disney-and-warner-brothers-need-to-apologise-publicly-to-johnny-depp,against
men-too-justice-for-men-domenstic-violence,related
worldwide-dress-like-depp-day,against
reinstate-johnny-for-pirates-6,against
justice-for-johnny-depp-disney-to-apologise,against
give-johnny-depp-his-job-back,against
justice-for-johnny-depp-sun-newspaper-retract-wife-beater-article-dan-wooton-to-give-apol,against
johnny-depp-day-4b81fb49-8906-4526-90e3-89d286412ab8,against
reinstate-johnny-depp-alan-waldmans-twitter-accounts,against
the-world-we-believe-you-johnny-depp,against
johnny-depp-receive-his-well-deserved-justice-back-in-the-society,against
tell-the-washington-post-that-you-won-t-read-their-trash,against
johnny-depp-as-mera-in-aquaman-2,against
wapo-needs-to-censor-denounce-taylor-lorenz,irrelevant
formal-apologies-to-johnny,against
casual-writers-this-website-steals-your-books,irrelevant
support-for-false-accusations-of-domestic-violence,for
make-the-roads-safer-ban-women-from-getting-a-driver-s-licence,against
bring-back-johnny-depp-as-captain-jack-sparrow-for-the-children-bf456d3c-c584-4934-bcaa-e8f8fcae6c89,against
unban-scorpione-on-dgg,related
replace-amber-heard-with-blake-lively-in-aquaman-2,against
cancel-amber-heard-from-hollywood,against
replace-amber-heard-with-lily-rose-depp-in-aquaman-l-oreal-ambassador,against
amber-heard-please-shut-up-and-accept-your-verdict,against
demand-the-doj-bring-charges-on-amber-guyger-investigate-dallas-pd,irrelevant
the-police-put-amber-heard-in-a-prison-cell,against
ignore-amber-s-interviews,against
lidl-rape-isn-t-funny-and-rape-jokes-should-not-be-used-for-advertising-purposes,for
remove-tug-proganda-from-youtube,for
stop-stigma-against-people-with-bpd,against
dhs-legal-kidnapping-of-children-and-family-court-judge-violations-of-the-constitution,irrelevant
,irrelevant
